College,Address,Course,Total Intake,KEA Seats,PH,SPL,HK,RK,HKRK Total,HKRK Seats
"B V V Sangha's Basaveshwara Engineering College , Bagalkote (AUTONOMOUS)","NIJALINGAPPA ROAD,BAGALKOT 587102",MECTIANICAL ENGINEEzuNG,90,85,4,1,7,73,80,5,4
"B V V Sangha's Basaveshwara Engineering College , Bagalkote (AUTONOMOUS)","NIJALINGAPPA ROAD,BAGALKOT 587102",COMPUTER SCIENCE AND ENGINEERING,60,57,3,1,4,49,53,3,3
"Sri Jayachamarajendra Coltege of Engineering(Constituent College of JSS Science & Technology University), Mysore",MANDYA 571 401,ENVIRONMENTAL ENGINEERING,60,57,3,0,4,50,54,3,3
"Sri Jayachamarajendra Coltege of Engineering(Constituent College of JSS Science & Technology University), Mysore",MANDYA 571 401,POLYMER SCIENCE & TECHNOLOGY,40,38,2,0,3,33,36,2,2
"Sri Jayachamarajendra Coltege of Engineering(Constituent College of JSS Science & Technology University), Mysore",MANDYA 571 401,COMPUTER SCIENCE AND ENGINEEzuNG,360,162,8,1,13,140,153,108,90
"Sri Jayachamarajendra Coltege of Engineering(Constituent College of JSS Science & Technology University), Mysore",MANDYA 571 401,CIVIL ENGINEERING,60,21,1,0,2,24,26,18,15
"Sri Jayachamarajendra Coltege of Engineering(Constituent College of JSS Science & Technology University), Mysore",MANDYA 571 401,COMPUTER SCIENCE AND ENGINEERING,120,54,3,1,4,46,50,36,30
"B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS)","POST BOXNO 1908, BULL TEMPLE ROAD,BANGALORE",COMPUTER SCIENCE AND ENGINEERING,180,81,4,1,6,70,76,54,45
"B V V Sangha's Basaveshwara Engineering College, Bagalkote (AUTONOMOUS)","NIJALINGAPPA ROAD,BAGALKOT 587102",MECHANICAL ENGINEERING t20,54,3,1,4,46,50,36,30,6
"BGS College of Engineering & Technology,Bangalore","CA SITE NO . 6 & 7 ,3RD MAIN, PIPE LINE ROAD, MAHALAKSHMIPURAM, WEST OF CHORD ROAD",MECHANICAL ENGINEERING,30,14,1,0,9,4,13,9,7
"BLDEA's YP. Dr.P.G. Hallakatti College of Engineering & Technology, Bijapur","ASHRAM ROAD,BIJAPUR - 586103",COMPUTER SCIENCE AND ENGINEERING,180,81,4,1,6,70,76,54,45
"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOIIS)",SHAVIGE MALLESHWARA HILLS. KUMARASWAMY LAYOUT. BANGALORE-560078,AUTOMOBILE ENGINEERING,60,27,2,0,2,23,25,18,15
"Dayananda Sagar College of Engineering, Bangalore(AUTONOMOIIS)",SHAVIGE MALLESHWARA HILLS. KUMARASWAMY LAYOUT. BANGALORE-560078,CIVIL ENGINEERING,180,81,4,1,6,70,76,54,45
"Dr. Sri Sri Sri Shivakumara Mahaswamyji College of Engineering, Byranayakanahalli, Bangalore Rural","'BYAIItr{NAYAL{{AHALLI,DODDABALE POST,NELAMANGALA TAIUK,BANGALORE RURAL DISTRICT",COMPUTER SCIENCE AND ENGINEERING,120,54,3,1,4,46,50,36,30
"H K E's Society's Sir N[ Visvesvaraya College of Engineering, Raichur",YERAMARUS CAMP.RAICHUR-584 135.,CIVlL ENGINEERING,60,27,1,0,18,8,26,18,15
"M S Engineering College, Bangalore","SURVEYNO. 2511, GORNALLI,BIDAR",COMPUTER SCIENCE AND ENGINEEzuNG,240,108,6,1,8,93,101,72,60
"Rao Bahadur Y.Mahabalesrvarappa Engineering College, Bellary",CONTONMENT. BELLARY-583 I 04,MECHANICAL ENGINEERING,120,54,3,1,35,15,50,36,30
"Sri Sairam College Of Engineering, Anekal, Bangalore",SAI LEONAGAR,COMPUTER SCIENCE AND ENGINEERING,120,54,3,1,4,46,50,36,30
"Veerappa Nisty Engineering College, Shorapur, Yadigir","POSTHASNAPUR, TQSHORAPU& DIST YADGIR",CIVIL ENGINEERING,60,27,1,0,2,24,26,18,15
"Veerappa Nisty Engineering College, Shorapur, Yadigir","POSTHASNAPUR, TQSHORAPU& DIST YADGIR",MECHANICAL ENGINEERINC,60,27,2,0,2,23,25,18,15
"St.Joseph Engineering College, Mangalore(AUTONOMOIJS)",MANGALORE,COMPUTER SCIENCE AND ENGINEERING,240,96,5,1,7,83,90,72,72
